model,arm,budget,task,acc,in_tokens,gold_visible,latency_s
qwen2.5:3b,reactive_afm,500,3,0,658,0,18.84
qwen2.5:3b,foveance,500,0,0,657,0,5.76
qwen2.5:3b,foveance,500,1,0,679,0,19.29
qwen2.5:3b,foveance,500,2,0,662,0,5.89
qwen2.5:3b,foveance,500,3,0,658,0,19.37
qwen2.5:3b,codec,500,0,1,518,1,20.01
qwen2.5:3b,codec,500,1,1,517,1,17.25
qwen2.5:3b,codec,500,2,1,519,1,10.51
qwen2.5:3b,codec,500,3,1,518,1,10.99
qwen2.5:3b,foveance+codec,500,0,0,483,0,16.39
qwen2.5:3b,foveance+codec,500,1,0,485,0,15.4
qwen2.5:3b,foveance+codec,500,2,0,485,0,16.69
qwen2.5:3b,foveance+codec,500,3,0,472,0,12.55
llama3.2:3b,full,500,0,1,1270,1,45.45
llama3.2:3b,full,500,1,1,1404,1,14.24
llama3.2:3b,full,500,2,1,1470,1,37.13
llama3.2:3b,full,500,3,1,1465,1,34.28
llama3.2:3b,recency,500,0,0,522,0,16.18
llama3.2:3b,recency,500,1,0,522,0,8.25
llama3.2:3b,recency,500,2,0,518,0,14.32
llama3.2:3b,recency,500,3,0,653,0,15.41
llama3.2:3b,digest,500,0,0,606,0,5.12
llama3.2:3b,digest,500,1,0,581,0,18.85
llama3.2:3b,digest,500,2,0,563,0,15.36
llama3.2:3b,digest,500,3,0,559,0,13.0
llama3.2:3b,reactive_afm,500,0,0,648,0,19.46
llama3.2:3b,reactive_afm,500,1,0,665,0,17.48
llama3.2:3b,reactive_afm,500,2,0,647,0,15.63
llama3.2:3b,reactive_afm,500,3,0,643,0,14.37
llama3.2:3b,foveance,500,0,0,648,0,2.62
llama3.2:3b,foveance,500,1,0,665,0,14.76
llama3.2:3b,foveance,500,2,0,647,0,2.85
llama3.2:3b,foveance,500,3,0,643,0,14.11
llama3.2:3b,codec,500,0,0,488,1,14.98
llama3.2:3b,codec,500,1,1,486,1,14.9
llama3.2:3b,codec,500,2,1,487,1,10.4
llama3.2:3b,codec,500,3,1,485,1,6.89
llama3.2:3b,foveance+codec,500,0,0,474,0,11.65
llama3.2:3b,foveance+codec,500,1,0,474,0,14.41
llama3.2:3b,foveance+codec,500,2,0,473,0,12.28
llama3.2:3b,foveance+codec,500,3,0,460,0,8.9
